,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
0,4.0,0.2,8.0,0.2,0.878452032,0.9933333
1,13.0,0.2,8.0,0.2,0.880872096,0.97022414
2,22.0,0.2,8.0,0.2,0.880872113,1.0216658
3,31.0,0.2,8.0,0.2,0.881146462,1.0396402
4,40.0,0.2,8.0,0.2,0.880822087,1.0412132
5,4.0,0.3,8.0,0.2,1.99017798,2.0555227
6,13.0,0.3,8.0,0.2,2.031793086,2.0719497
7,22.0,0.3,8.0,0.2,2.031754083,2.0607393
8,31.0,0.3,8.0,0.2,2.031685111,2.0583684
9,40.0,0.3,8.0,0.2,2.031931256,2.0771735
10,4.0,0.4,8.0,0.2,1.763583748,1.7690575
11,13.0,0.4,8.0,0.2,1.828514412,1.841637
12,22.0,0.4,8.0,0.2,1.828556634,1.8403456
13,31.0,0.4,8.0,0.2,1.828506826,1.8555725
14,40.0,0.4,8.0,0.2,1.828480847,1.8719531
15,4.0,0.5,8.0,0.2,1.807975485,1.8086746
16,13.0,0.5,8.0,0.2,1.890615473,1.9020307
17,22.0,0.5,8.0,0.2,1.890612537,1.908834
18,31.0,0.5,8.0,0.2,1.890566629,1.9243572
19,40.0,0.5,8.0,0.2,1.890516091,1.9486324
20,4.0,0.6,8.0,0.2,1.850775296,1.8501467
21,13.0,0.6,8.0,0.2,1.983204004,2.0084908
22,22.0,0.6,8.0,0.2,1.983002168,2.0149255
23,31.0,0.6,8.0,0.2,1.982862106,2.0177486
24,40.0,0.6,8.0,0.2,1.982770708,2.0220926
25,4.0,0.7,8.0,0.2,1.861152101,1.8693389
26,13.0,0.7,8.0,0.2,2.072206283,2.1106164
27,22.0,0.7,8.0,0.2,2.072314864,2.112706
28,31.0,0.7,8.0,0.2,2.071745587,2.1151314
29,40.0,0.7,8.0,0.2,2.071636216,2.118445
30,4.0,0.2,20.0,0.2,3.912013895,4.010949
31,13.0,0.2,20.0,0.2,3.947154553,4.01603
32,22.0,0.2,20.0,0.2,3.948066467,3.9577398
33,31.0,0.2,20.0,0.2,2.543189852,2.553495
34,40.0,0.2,20.0,0.2,2.542724776,2.5788827
35,4.0,0.3,20.0,0.2,2.838965787,2.808561
36,13.0,0.3,20.0,0.2,2.946389525,2.8989406
37,22.0,0.3,20.0,0.2,2.949035623,2.939246
38,31.0,0.3,20.0,0.2,2.949173421,2.9295928
39,40.0,0.3,20.0,0.2,2.948966216,2.9615119
40,4.0,0.4,20.0,0.2,3.140509636,3.0682485
41,13.0,0.4,20.0,0.2,3.417365222,3.3559663
42,22.0,0.4,20.0,0.2,3.423654206,3.3943613
43,31.0,0.4,20.0,0.2,3.424116582,3.3947756
44,40.0,0.4,20.0,0.2,3.423965742,3.4006176
45,4.0,0.5,20.0,0.2,3.095883485,3.1075327
46,13.0,0.5,20.0,0.2,3.697603171,3.6665578
47,22.0,0.5,20.0,0.2,3.71044043,3.704427
48,31.0,0.5,20.0,0.2,3.710721417,3.7192693
49,40.0,0.5,20.0,0.2,3.71114133,3.7438917
50,4.0,0.6,20.0,0.2,2.936909617,2.9041693
51,13.0,0.6,20.0,0.2,4.0051909,3.9778936
52,22.0,0.6,20.0,0.2,4.018164001,3.9900455
53,31.0,0.6,20.0,0.2,4.019461337,4.012044
54,40.0,0.6,20.0,0.2,4.019842761,4.013351
55,4.0,0.7,20.0,0.2,2.570683164,2.5385318
56,13.0,0.7,20.0,0.2,4.024620154,4.0280538
57,22.0,0.7,20.0,0.2,4.055044271,4.0774546
58,31.0,0.7,20.0,0.2,4.056592611,4.071936
59,40.0,0.7,20.0,0.2,4.056599903,4.072027
60,4.0,0.2,32.0,0.2,3.66749118,3.6149652
61,13.0,0.2,32.0,0.2,3.74103413,3.6836762
62,22.0,0.2,32.0,0.2,3.747318338,3.7135284
63,31.0,0.2,32.0,0.2,3.747367847,3.7530186
64,40.0,0.2,32.0,0.2,3.746936713,3.7635045
65,4.0,0.3,32.0,0.2,4.502663411,4.426657
66,13.0,0.3,32.0,0.2,4.762800113,4.6947417
67,22.0,0.3,32.0,0.2,4.785449302,4.723519
68,31.0,0.3,32.0,0.2,4.786069654,4.740485
69,40.0,0.3,32.0,0.2,4.78510683,4.745057
70,4.0,0.4,32.0,0.2,4.374103585,4.308721
71,13.0,0.4,32.0,0.2,5.12613119,5.0644755
72,22.0,0.4,32.0,0.2,5.177491244,5.10217
73,31.0,0.4,32.0,0.2,5.177995442,5.125123
74,40.0,0.4,32.0,0.2,5.178343621,5.1393614
75,4.0,0.5,32.0,0.2,3.836344385,3.74744
76,13.0,0.5,32.0,0.2,5.289740718,5.2806644
77,22.0,0.5,32.0,0.2,5.383536639,5.36471
